,id,name,No of tosses,skills
7264,62.0,jdt-core-inbox@eclipse.org,3184.0,
7267,25.0,Platform-UI-Inbox@eclipse.org,2092.0,
7383,22.0,Mike_Wilson@oti.com,1.0,
9370,19.0,erich_gamma@ch.ibm.com,8.0,
9371,72.0,Platform-UI-Inbox@eclipse.org,2092.0,
9405,17.0,Darin_Wright@ca.ibm.com,1.0,{'Core'}
9421,74.0,Platform-UI-Inbox@eclipse.org,2092.0,
9422,79.0,DJ_Houghton@oti.com,332.0,
9476,83.0,platform-team-inbox@eclipse.org,,
9514,91.0,Platform-UI-Inbox@eclipse.org,2092.0,
9517,26.0,Jeff_McAffer@oti.com,14.0,
9518,96.0,Brian_Young@oti.com,,
9525,94.0,pde-core-inbox@eclipse.org,109.0,
9526,71.0,philippe_mulet@fr.ibm.com,3.0,
9527,101.0,Darin_Wright@oti.com,111.0,
9528,75.0,Mike_Wilson@oti.com,1.0,{'Core'}
9776,110.0,Mike_Wilson@oti.com,1.0,
9777,112.0,jdt-ui-inbox@eclipse.org,5009.0,
9778,108.0,platform-swt-inbox@eclipse.org,1.0,
9779,115.0,jdt-core-inbox@eclipse.org,3184.0,
9783,128.0,Kevin_Haaland@oti.com,59.0,
9784,131.0,DJ_Houghton@oti.com,332.0,
9785,40.0,klicnik@ca.ibm.com,1.0,
9843,117.0,platform-ant-inbox@eclipse.org,,
9844,102.0,Platform-UI-Inbox@eclipse.org,2092.0,
9845,141.0,platform-swt-inbox@eclipse.org,1.0,
9846,105.0,jdt-core-inbox@eclipse.org,3184.0,
9847,109.0,Platform-UI-Inbox@eclipse.org,2092.0,
9848,147.0,DJ_Houghton@oti.com,332.0,
9849,151.0,Philippe_Mulet@oti.com,398.0,
9850,150.0,Philippe_Mulet@oti.com,398.0,
9851,111.0,Kevin_McGuire@oti.com,,
9852,153.0,alain@qnx.com,16.0,
9853,124.0,jdt-core-inbox@eclipse.org,3184.0,
9863,161.0,Kevin_Haaland@oti.com,59.0,
9864,154.0,platform-releng-inbox@eclipse.org,,
9865,166.0,PDE-Incubator-Inbox@eclipse.org,,
9866,129.0,platform-webdav-inbox@eclipse.org,,
9867,168.0,Erich_Gamma@oti.com,555.0,
9868,136.0,jdt-core-inbox@eclipse.org,3184.0,
9869,27.0,dejan@ca.ibm.com,27.0,
9870,162.0,Philippe_Mulet@oti.com,398.0,
9871,187.0,cdt-core-inbox@eclipse.org,24.0,
9872,183.0,Kevin_Haaland@oti.com,59.0,
9873,205.0,Platform-UI-Inbox@eclipse.org,2092.0,
9874,82.0,DJ_Houghton@oti.com,332.0,
9875,84.0,jdt-core-inbox@eclipse.org,3184.0,
9876,44.0,platform-team-inbox@eclipse.org,,
10436,123.0,Kevin_Haaland@oti.com,59.0,
10437,215.0,DJ_Houghton@oti.com,332.0,
10438,218.0,Philippe_Mulet@oti.com,398.0,
10439,219.0,Kevin_Haaland@oti.com,59.0,
10562,227.0,Kevin_Haaland@oti.com,59.0,
10563,230.0,Nick_Edgar@oti.com,111.0,
10564,233.0,Erich_Gamma@oti.com,555.0,
10565,116.0,Mike_Wilson@oti.com,1.0,
10566,196.0,Platform-UI-Inbox@eclipse.org,2092.0,
10567,155.0,Platform-UI-Inbox@eclipse.org,2092.0,
10568,248.0,jdt-ui-inbox@eclipse.org,5009.0,
10569,217.0,Philippe_Mulet@oti.com,398.0,
10570,263.0,platform-update-inbox@eclipse.org,1.0,
10571,222.0,Mike_Wilson@oti.com,1.0,
10575,267.0,Kevin_Haaland@oti.com,59.0,
10576,280.0,Erich_Gamma@oti.com,555.0,
10577,232.0,Philippe_Mulet@oti.com,398.0,
10578,282.0,Erich_Gamma@oti.com,555.0,
10579,283.0,Darin_Wright@ca.ibm.com,1.0,
10580,287.0,Philippe_Mulet@oti.com,398.0,
10581,216.0,Darin_Wright@ca.ibm.com,1.0,
10588,290.0,jdt-ui-inbox@eclipse.org,5009.0,
10589,146.0,jdt-ui-inbox@eclipse.org,5009.0,{'Core'}
10590,294.0,Mike_Wilson@oti.com,1.0,
10591,300.0,jdt-core-inbox@eclipse.org,3184.0,
10592,302.0,Platform-UI-Inbox@eclipse.org,2092.0,
10593,121.0,jdt-core-inbox@eclipse.org,3184.0,
10666,185.0,DJ_Houghton@oti.com,332.0,
10667,313.0,cdt-core-inbox@eclipse.org,24.0,
10668,278.0,Mike_Wilson@oti.com,1.0,
10669,255.0,Erich_Gamma@oti.com,555.0,
10751,234.0,DJ_Houghton@oti.com,332.0,
10752,258.0,platform-cvs-inbox@eclipse.org,,
10753,323.0,Erich_Gamma@oti.com,555.0,
10754,254.0,Erich_Gamma@oti.com,555.0,
10755,327.0,jdt-ui-inbox@eclipse.org,5009.0,
10756,320.0,platform-swt-inbox@eclipse.org,1.0,
10757,321.0,platform-swt-inbox@eclipse.org,1.0,
10758,289.0,Erich_Gamma@oti.com,555.0,
10759,330.0,Platform-UI-Inbox@eclipse.org,2092.0,
10760,314.0,Platform-UI-Inbox@eclipse.org,2092.0,
10761,260.0,Philippe_Mulet@oti.com,398.0,
10762,244.0,Philippe_Mulet@oti.com,398.0,
10763,253.0,platform-swt-inbox@eclipse.org,1.0,
10764,191.0,Platform-UI-Inbox@eclipse.org,2092.0,
10765,336.0,DJ_Houghton@oti.com,332.0,
10766,252.0,Mike_Wilson@oti.com,1.0,
10770,180.0,Mike_Wilson@oti.com,1.0,
10771,351.0,Erich_Gamma@oti.com,555.0,
10772,333.0,John_Wiegand@us.ibm.com,3.0,
10778,355.0,Erich_Gamma@oti.com,555.0,
10779,359.0,DJ_Houghton@oti.com,332.0,
10780,107.0,Mike_Wilson@oti.com,1.0,
10781,204.0,Adam_Kiezun@oti.com,8.0,
10782,363.0,Platform-UI-Inbox@eclipse.org,2092.0,
10783,362.0,gef-inbox@eclipse.org,,
10784,295.0,pde-build-inbox@eclipse.org,,
10822,365.0,Erich_Gamma@oti.com,555.0,
10823,126.0,Kevin_Haaland@oti.com,59.0,
10824,299.0,jdt-core-inbox@eclipse.org,3184.0,
10825,3224.0,jhalhead@ca.ibm.com,,set()
10826,315.0,jdt-core-inbox@eclipse.org,3184.0,
10911,316.0,jdt-core-inbox@eclipse.org,3184.0,
10912,367.0,Erich_Gamma@oti.com,555.0,
10913,370.0,Philippe_Mulet@oti.com,398.0,
10914,261.0,jdt-ui-inbox@eclipse.org,5009.0,{'Core'}
10915,335.0,Kevin_Haaland@oti.com,59.0,
10916,474.0,DJ_Houghton@oti.com,332.0,
10917,374.0,Erich_Gamma@oti.com,555.0,
10918,375.0,jdt-ui-inbox@eclipse.org,5009.0,
10919,380.0,Erich_Gamma@oti.com,555.0,
10920,395.0,Erich_Gamma@oti.com,555.0,
10921,378.0,platform-runtime-inbox@eclipse.org,,
10922,392.0,jdt-text-inbox@eclipse.org,1195.0,
10923,407.0,Mike_Wilson@oti.com,1.0,
10924,408.0,Darin_Wright@ca.ibm.com,1.0,
10925,389.0,jdt-core-inbox@eclipse.org,3184.0,
10926,420.0,Erich_Gamma@oti.com,555.0,
10927,303.0,jdt-ui-inbox@eclipse.org,5009.0,
10928,239.0,dejan@ca.ibm.com,27.0,
10929,424.0,Erich_Gamma@oti.com,555.0,
10930,428.0,DJ_Houghton@oti.com,332.0,
10931,149.0,Erich_Gamma@oti.com,555.0,
10932,388.0,Philippe_Mulet@oti.com,398.0,
10933,412.0,Philippe_Mulet@oti.com,398.0,
10934,188.0,Erich_Gamma@oti.com,555.0,
10935,329.0,jdt-core-inbox@eclipse.org,3184.0,
10936,6.0,platform-swt-inbox@eclipse.org,1.0,set()
10937,243.0,Kevin_Haaland@oti.com,59.0,
10938,437.0,Mike_Wilson@oti.com,1.0,
10939,440.0,Erich_Gamma@oti.com,555.0,
10940,394.0,Erich_Gamma@oti.com,555.0,
10941,443.0,Mike_Wilson@oti.com,1.0,
10942,444.0,DJ_Houghton@oti.com,332.0,
10943,445.0,DJ_Houghton@oti.com,332.0,
10944,450.0,DJ_Houghton@oti.com,332.0,
10945,453.0,DJ_Houghton@oti.com,332.0,
10946,477.0,Kevin_Haaland@oti.com,59.0,
10947,473.0,jdt-ui-inbox@eclipse.org,5009.0,
10950,490.0,Erich_Gamma@oti.com,555.0,
10951,478.0,Kevin_Haaland@oti.com,59.0,
10957,368.0,Platform-UI-Inbox@eclipse.org,2092.0,
10958,480.0,DJ_Houghton@oti.com,332.0,
10959,504.0,Philippe_Mulet@oti.com,398.0,
10960,499.0,Nick_Edgar@oti.com,111.0,
10961,286.0,Kevin_McGuire@oti.com,,
10962,468.0,jdt-core-inbox@eclipse.org,3184.0,
10963,328.0,Kevin_Haaland@oti.com,59.0,
10964,522.0,Kevin_McGuire@oti.com,,
10965,387.0,Erich_Gamma@oti.com,555.0,
10966,386.0,alain@qnx.com,16.0,
10967,525.0,Mike_Wilson@oti.com,1.0,
10968,524.0,jdt-core-inbox@eclipse.org,3184.0,
10969,106.0,Darin_Wright@oti.com,111.0,
10970,482.0,Mike_Wilson@oti.com,1.0,
10971,511.0,Erich_Gamma@oti.com,555.0,
10972,533.0,Kevin_McGuire@oti.com,,
10973,526.0,platform-core-inbox@eclipse.org,658.0,
10974,405.0,pde-core-inbox@eclipse.org,109.0,
10975,536.0,Erich_Gamma@oti.com,555.0,
10976,540.0,Darin_Wright@oti.com,111.0,
10977,390.0,platform-core-inbox@eclipse.org,658.0,
10978,479.0,jdt-ui-inbox@eclipse.org,5009.0,{'Runtime'}
10981,527.0,DJ_Houghton@oti.com,332.0,
10998,560.0,Philippe_Mulet@oti.com,398.0,
10999,566.0,Philippe_Mulet@oti.com,398.0,
11150,572.0,Erich_Gamma@oti.com,555.0,
11151,574.0,Platform-UI-Inbox@eclipse.org,2092.0,
11152,576.0,Platform-UI-Inbox@eclipse.org,2092.0,
11153,578.0,Erich_Gamma@oti.com,555.0,
11154,580.0,platform-swt-inbox@eclipse.org,1.0,{'UI'}
11155,568.0,Kevin_McGuire@ca.ibm.com,1.0,
11156,581.0,platform-text-inbox@eclipse.org,468.0,
11157,583.0,platform-releng-inbox@eclipse.org,,set()
11158,212.0,Kevin_McGuire@oti.com,,
11159,585.0,Mike_Wilson@oti.com,1.0,
11160,589.0,Philippe_Mulet@oti.com,398.0,
11161,122.0,jdt-ui-inbox@eclipse.org,5009.0,
11162,341.0,Philippe_Mulet@oti.com,398.0,
11163,552.0,Mike_Wilson@oti.com,1.0,
11164,591.0,Mike_Wilson@oti.com,1.0,
11165,461.0,DJ_Houghton@oti.com,332.0,
11166,598.0,philippe_mulet@fr.ibm.com,3.0,
11167,596.0,jdt-ui-inbox@eclipse.org,5009.0,
11168,494.0,Kevin_Haaland@oti.com,59.0,
11169,600.0,jdt-ui-inbox@eclipse.org,5009.0,
11170,595.0,Erich_Gamma@oti.com,555.0,
11171,604.0,DJ_Houghton@oti.com,332.0,
11172,590.0,pde-ui-inbox@eclipse.org,519.0,
11173,605.0,Erich_Gamma@oti.com,555.0,
11174,594.0,Erich_Gamma@oti.com,555.0,
11175,339.0,turnham@ca.ibm.com,,
11176,564.0,Kevin_Haaland@oti.com,59.0,
11177,611.0,Erich_Gamma@oti.com,555.0,
11178,612.0,DJ_Houghton@oti.com,332.0,
11179,624.0,Philippe_Mulet@oti.com,398.0,
11180,312.0,platform-help-inbox@eclipse.org,,
11181,623.0,jdt-core-inbox@eclipse.org,3184.0,
11182,614.0,Mike_Wilson@oti.com,1.0,
11183,635.0,platform-ide-inbox@eclipse.org,,
11184,631.0,Kevin_Haaland@oti.com,59.0,
11185,637.0,Darin_Wright@oti.com,111.0,
11186,296.0,wst.xml-inbox@eclipse.org,,
11187,617.0,Mike_Wilson@oti.com,1.0,
11201,427.0,Kevin_Haaland@oti.com,59.0,
11202,539.0,platform-swt-inbox@eclipse.org,1.0,
11203,348.0,Platform-UI-Inbox@eclipse.org,2092.0,
11204,648.0,Mike_Wilson@oti.com,1.0,
11205,653.0,Philippe_Mulet@oti.com,398.0,
