id,skills
,
11,"{'SWT', 'UI', 'Text', 'Doc', 'Core', 'Search', 'Debug'}"
,
38,{'SWT'}
,
54,"{'UI', 'Resources', 'Text', 'Doc', 'Ant', 'Core', 'CVS', 'Runtime', 'SWT', 'Web Standard Tools', 'Debug'}"
,
64,"{'Text', 'SWT'}"
,
20,"{'Debug', 'Core', 'UI'}"
,
30,"{'Ant', 'Debug', 'Core', 'UI'}"
,
32,"{'UI', 'Resources', 'Text', 'Doc', 'Core', 'Runtime', 'SWT', 'Debug'}"
,
30,"{'Ant', 'Debug', 'Core', 'UI'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
32,"{'UI', 'Resources', 'Text', 'Doc', 'Core', 'Runtime', 'SWT', 'Debug'}"
,
13,"{'APT', 'UI', 'Text', 'Doc', 'Core', 'Debug'}"
,
54,"{'UI', 'Resources', 'Text', 'Doc', 'Ant', 'Core', 'CVS', 'Runtime', 'SWT', 'Web Standard Tools', 'Debug'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
54,"{'UI', 'Resources', 'Text', 'Doc', 'Ant', 'Core', 'CVS', 'Runtime', 'SWT', 'Web Standard Tools', 'Debug'}"
,
475,set()
,
66,"{'SWT', 'Core'}"
,
20,"{'Debug', 'Core', 'UI'}"
,
54,"{'UI', 'Resources', 'Text', 'Doc', 'Ant', 'Core', 'CVS', 'Runtime', 'SWT', 'Web Standard Tools', 'Debug'}"
,
30,"{'Ant', 'Debug', 'Core', 'UI'}"
,
51,"{'UI', 'Resources', 'Text', 'Doc', 'Core', 'CVS', 'Help', 'Update', 'Runtime', 'SWT'}"
,
41,"{'Text', 'Core', 'UI'}"
,
66,"{'SWT', 'Core'}"
,
49,set()
,
59,"{'Core', 'UI'}"
,
57,"{'UI', 'Text', 'Team', 'Ant', 'SWT'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
30,"{'Ant', 'Debug', 'Core', 'UI'}"
,
34,"{'IDE', 'UI', 'Runtime', 'Resources', 'Text', 'User Assistance', 'Team', 'Core', 'VCM', 'Help', 'CVS', 'Update', 'SWT', 'Debug'}"
,
38,{'SWT'}
,
481,"{'Text', 'Core', 'UI'}"
,
38,{'SWT'}
,
54,"{'UI', 'Resources', 'Text', 'Doc', 'Ant', 'Core', 'CVS', 'Runtime', 'SWT', 'Web Standard Tools', 'Debug'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
20,"{'Debug', 'Core', 'UI'}"
,
32,"{'UI', 'Resources', 'Text', 'Doc', 'Core', 'Runtime', 'SWT', 'Debug'}"
,
30,"{'Ant', 'Debug', 'Core', 'UI'}"
,
28,"{'Core', 'UI'}"
,
59,"{'Core', 'UI'}"
,
39,"{'jst.j2ee', 'DataTools', 'Resources', 'Compare', 'User Assistance', 'Compendium', 'cdt-editor', 'jst.jsp', 'UI', 'Doc', 'Core', 'VCM', 'Search', 'APT', 'wst.xml', 'Web Standard Tools', 'IDE', 'Text', 'wst.jsdt', 'SWT', 'Debug'}"
,
13212,set()
,
46,"{'SWT', 'Core', 'UI'}"
,
34,"{'IDE', 'UI', 'Runtime', 'Resources', 'Text', 'User Assistance', 'Team', 'Core', 'VCM', 'Help', 'CVS', 'Update', 'SWT', 'Debug'}"
,
13212,set()
,
41,"{'Text', 'Core', 'UI'}"
,
64,"{'Text', 'SWT'}"
,
57,"{'UI', 'Text', 'Team', 'Ant', 'SWT'}"
,
31,"{'UI', 'Resources', 'Text', 'Core', 'Runtime', 'Debug'}"
,
